participant_id,error_1,error_2,error_3
P10,1.0,2.0,1.0
P11,1.0,2.0,1.0
P12,1.0,4.0,4.0
P13,2.0,1.0,2.0
P14,2.0,2.0,2.0
P16,1.0,4.0,4.0
P19,1.0,1.0,1.0
P2,,2.0,
P20,4.0,1.0,1.0
P21,2.0,4.0,4.0
P22,5.0,2.0,1.0
P23,1.0,1.0,1.0
P24,1.0,1.0,5.0
P25,1.0,1.0,1.0
P26,1.0,1.0,1.0
P27,1.0,,
P28,1.0,2.0,2.0
P29,1.0,1.0,1.0
P3,1.0,1.0,1.0
P30,1.0,1.0,1.0
P32,1.0,1.0,1.0
P33,1.0,1.0,1.0
P35,1.0,4.0,4.0
P36,1.0,2.0,1.0
P37,2.0,2.0,
P38,1.0,1.0,4.0
P4,2.0,2.0,
P41,1.0,2.0,2.0
P42,2.0,2.0,2.0
P43,1.0,4.0,1.0
P44,1.0,2.0,2.0
P46,1.0,2.0,1.0
P47,1.0,,
P48,1.0,1.0,2.0
P49,1.0,1.0,1.0
P5,1.0,2.0,5.0
P50,4.0,2.0,2.0
P51,1.0,1.0,1.0
P52,1.0,2.0,1.0
P53,1.0,1.0,1.0
P54,1.0,2.0,4.0
P55,1.0,2.0,2.0
P56,1.0,1.0,1.0
P57,1.0,1.0,1.0
P58,4.0,,1.0
P59,1.0,,
P6,1.0,1.0,1.0
P7,2.0,1.0,2.0
P8,4.0,,
P9,2.0,2.0,2.0
