participant_id,classification,engaged,has_reprompting,has_verbal_tone,has_autonomy,has_backup,autonomy_behaviors,backup_behaviors,all_subcodes
P10,autonomous,True,True,True,True,False,[],[],"['quitting', 'slower speech', 'simpler prompt', 'interrogative tone', 'frustration', 'no prompt', 'more specific/longer prompt']"
P11,autonomous,True,True,True,True,False,[],[],"[""'please'"", 'confusion', 'looks at PC', 'interrogative tone', 'frustration', 'no prompt', 'more specific/longer prompt']"
P12,mixed autonomy,True,True,False,True,True,[],['leaves room'],"['repeats prompt', 'quitting', 'confusion', 'leaves room', 'no prompt', 'changes position']"
P13,autonomous,True,True,False,True,False,[],[],"['looks at robot', 'confusion', 'frustration', 'no prompt', 'more specific/longer prompt']"
P14,did not engage,False,False,False,False,False,[],[],"['looks at robot', 'confusion', 'amusement/humor', 'looks at PC', 'frustration', 'no prompt', 'looks for researcher']"
P16,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'confusion', 'looks at PC', 'interrogative tone', 'no prompt', 'looks for researcher']"
P19,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'slower speech', 'confusion', 'looks at PC', 'more specific/longer prompt']"
P2,did not engage,False,False,False,False,False,[],[],"['confusion', 'looks at PC', 'frustration', 'no prompt', 'changes position', 'looks for researcher']"
P20,mixed autonomy,True,True,True,True,True,['moves closer to robot'],['stands up'],"['moves closer to robot', 'looks at robot', 'slower speech', 'simpler prompt', 'looks at PC', 'stands up', 'changes position']"
P21,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'looks at robot', 'confusion', 'looks at PC', 'filler words', 'no prompt', 'looks for researcher']"
P22,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'quitting', 'looks at robot', 'confusion', 'simpler prompt', 'looks at PC', 'demanding tone', 'interrogative tone', 'no prompt', 'looks for researcher']"
P23,autonomous,True,True,True,True,False,[],[],"['slower speech', 'more specific/longer prompt', 'simpler prompt', 'looks at robot']"
P24,mixed autonomy,True,True,True,True,True,[],['leaves room'],"['quitting', 'swaps terms', 'looks at robot', 'slower speech', 'simpler prompt', 'leaves room']"
P25,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'slower speech', 'demanding tone', 'more specific/longer prompt']"
P26,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'slower speech', 'looks at PC', 'demanding tone', 'frustration']"
P27,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['slower speech', 'repeats prompt', 'moves closer to robot']"
P28,mixed autonomy,True,True,False,True,True,[],['leaves room'],"['repeats prompt', 'looks at robot', 'confusion', 'looks at PC', 'leaves room', 'no prompt']"
P29,autonomous,True,True,True,True,False,[],[],"['more specific/longer prompt', 'demanding tone', 'simpler prompt', 'looks at robot']"
P3,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'amusement/humor', 'simpler prompt', 'demanding tone', 'filler words', 'frustration']"
P30,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['moves closer to robot', 'looks at robot', 'slower speech', 'amusement/humor', 'simpler prompt', ""'please'"", 'more specific/longer prompt']"
P32,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['slower speech', 'frustration', 'repeats prompt', 'moves closer to robot']"
P33,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['moves closer to robot', ""'please'"", 'demanding tone', 'filler words', 'more specific/longer prompt']"
P35,mixed autonomy,True,True,True,True,True,[],"['looks for researcher', 'leaves room']","['repeats prompt', 'looks at robot', 'slower speech', 'simpler prompt', 'leaves room', 'looks for researcher']"
P36,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'looks at robot', 'confusion', 'looks at PC', 'demanding tone', 'no prompt', 'looks for researcher']"
P37,did not engage,False,False,False,False,False,[],[],"['confusion', 'quitting', 'looks at PC', 'no prompt']"
P38,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'looks at PC', 'demanding tone', 'interrogative tone', 'looks for researcher', 'makes new prompt']"
P4,did not engage,False,False,False,False,False,[],[],"['looks for researcher', 'no prompt', 'looks at robot']"
P41,mixed autonomy,True,True,False,True,True,[],['looks for researcher'],"['looks for researcher', 'makes new prompt', 'no prompt', 'looks at robot']"
P42,did not engage,False,False,False,False,False,[],[],"['looks for researcher', 'confusion', 'looks at PC', 'no prompt']"
P43,mixed autonomy,True,True,True,True,True,['moves closer to robot'],['looks for researcher'],"['repeats prompt', 'moves closer to robot', 'looks at robot', 'slower speech', 'filler words', 'looks for researcher', 'more specific/longer prompt']"
P44,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'quitting', 'looks at robot', 'slower speech', 'looks at PC', 'no prompt']"
P46,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'looks at robot', 'slower speech', 'confusion', 'looks at PC', 'no prompt', 'looks for researcher']"
P47,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['repeats prompt', 'moves closer to robot', 'looks at robot', 'slower speech', 'demanding tone']"
P48,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'slower speech', 'looks at PC', 'no prompt']"
P49,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'demanding tone', 'looks at robot']"
P5,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['moves closer to robot', 'looks at robot', ""'please'"", 'amusement/humor', 'confusion', 'interrogative tone', 'frustration', 'filler words', 'no prompt', 'more specific/longer prompt']"
P50,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['confusion', 'looks at PC', 'filler words', 'no prompt', 'looks for researcher', 'more specific/longer prompt']"
P51,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['repeats prompt', 'moves closer to robot', 'looks at robot', 'slower speech', 'amusement/humor', 'demanding tone']"
P52,autonomous,True,True,True,True,False,[],[],"[""'please'"", 'amusement/humor', 'simpler prompt', 'looks at PC', 'demanding tone', 'filler words', 'no prompt', 'more specific/longer prompt']"
P53,autonomous,True,True,True,True,False,[],[],"['repeats prompt', ""'please'"", 'amusement/humor', 'looks at PC', 'demanding tone', 'assertive tone', 'more specific/longer prompt']"
P54,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'demanding tone', 'no prompt', 'more specific/longer prompt']"
P55,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['confusion', 'looks at PC', 'filler words', 'no prompt', 'looks for researcher', 'more specific/longer prompt']"
P56,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'slower speech', 'looks at PC', 'demanding tone', 'frustration']"
P57,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'looks at robot', 'simpler prompt', 'demanding tone', 'more specific/longer prompt']"
P58,mixed autonomy,True,True,True,True,True,[],['looks for researcher'],"['repeats prompt', 'amusement/humor', 'demanding tone', 'interrogative tone', 'frustration', 'looks for researcher', 'makes new prompt']"
P59,autonomous,True,True,True,True,False,[],[],"['repeats prompt', 'amusement/humor', 'demanding tone']"
P6,autonomous,True,True,True,True,False,['moves closer to robot'],[],"['repeats prompt', 'moves closer to robot', 'looks at robot', 'confusion', 'simpler prompt', 'frustration', 'more specific/longer prompt']"
P7,mixed autonomy,True,True,False,True,True,[],['looks for researcher'],"['looks for researcher', 'confusion', 'more specific/longer prompt']"
P8,autonomous,True,True,False,True,False,[],[],"['confusion', 'more specific/longer prompt', 'no prompt']"
P9,did not engage,False,False,False,False,False,[],[],"['changes position', 'confusion', 'no prompt']"
