participant_id,first_disengagement_error,first_disengagement_type,reaction_time
P10,2,no prompt,00:07:29.405
P11,2,no prompt,00:06:31.710
P12,2,quitting,00:05:51.070
P13,1,no prompt,00:08:58.815
P14,1,no prompt,00:08:05.235
P16,2,looks for researcher,00:09:26.470
P2,2,no prompt,00:05:53.115
P20,1,stands up,00:05:12.565
P21,1,no prompt,00:08:27.830
P22,1,looks for researcher,00:06:34.775
P24,3,quitting,00:06:05.810
P28,2,leaves room,00:07:23.770
P35,2,looks for researcher,00:05:53.735
P36,2,no prompt,00:10:46.110
P37,1,no prompt,00:05:41.119
P38,3,looks for researcher,00:07:57.670
P4,1,looks for researcher,00:09:08.018
P41,2,looks for researcher,00:07:31.831
P42,1,no prompt,00:05:44.377
P43,2,looks for researcher,00:06:56.824
P44,2,no prompt,00:06:41.684
P46,2,looks for researcher,00:07:05.644
P48,3,no prompt,00:08:04.070
P5,2,no prompt,00:07:23.362
P50,1,looks for researcher,00:07:00.159
P52,2,no prompt,00:06:31.512
P54,2,no prompt,00:06:46.802
P55,2,no prompt,00:07:58.839
P58,1,looks for researcher,00:05:21.362
P7,1,looks for researcher,00:06:34.545
P8,1,no prompt,00:08:26.575
P9,1,no prompt,00:07:04.065
