participant_id,error,response_time,reaction_type
P10,3,5.449999999999989,frustration
P11,2,5.7450000000000045,confusion
P11,3,6.555000000000007,frustration
P12,3,0.9200000000000159,confusion
P13,1,0.8900000000001,confusion
P13,2,3.919999999999959,frustration
P13,3,5.069999999999936,frustration
P14,1,1.259999999999991,confusion
P14,1,10.09499999999997,amusement/humor
P14,3,4.28000000000003,frustration
P16,3,5.295000000000073,confusion
P19,1,5.050000000000011,confusion
P19,2,0.9700000000000273,confusion
P2,2,1.7549999999999955,confusion
P2,3,8.259999999999991,frustration
P21,1,3.3600000000000136,confusion
P22,1,2.884999999999991,confusion
P22,2,0.7749999999999773,confusion
P28,3,5.279999999999973,confusion
P30,3,0.08500000000003638,amusement/humor
P32,3,0.01999999999998181,frustration
P36,2,15.319999999999936,confusion
P36,3,0.07399999999995543,confusion
P37,1,3.659999999999968,confusion
P42,1,0.12999999999999545,confusion
P46,2,5.904999999999973,confusion
P5,2,0.08499999999997954,frustration
P5,3,4.204999999999984,frustration
P5,3,9.529999999999973,frustration
P5,3,14.014999999999986,frustration
P5,3,39.03199999999998,amusement/humor
P5,3,59.608000000000004,confusion
P5,3,67.90300000000002,confusion
P5,3,73.37800000000004,confusion
P5,3,78.80499999999995,confusion
P50,3,7.270999999999958,confusion
P51,2,5.199999999999989,amusement/humor
P52,2,11.057000000000016,amusement/humor
P52,3,6.6860000000000355,amusement/humor
P53,3,1.066000000000031,amusement/humor
P55,2,1.391999999999996,confusion
P56,2,0.9590000000000032,frustration
P56,3,0.3369999999999891,frustration
P58,1,3.4419999999999504,amusement/humor
P59,1,0.12999999999999545,amusement/humor
P6,1,1.7749999999999773,confusion
P6,2,6.639999999999986,frustration
P6,3,0.09499999999997044,frustration
P7,1,8.850000000000023,confusion
P8,1,0.6429999999999723,confusion
P9,1,1.115000000000009,confusion
P9,2,3.5790000000000077,confusion
